App,Direct,Heuristics,Unsupported,Total
AmazeFileManager,29,2,16,47
AnkiDroid,64,7,51,122
KISS,34,1,13,48
OmniNotes,20,2,18,40
OpenBikeSharing,3,1,4,8
RedReader,69,1,4,74
Signal,38,1,37,76
a2dpvol,15,0,0,15
alwayson,28,0,12,40
ammx,25,2,36,63
antennapod,34,0,35,69
aphotomanager,15,1,13,29
commons,4,1,2,7
connectbot,21,1,1,23
fillup,5,0,7,12
forecast,13,2,0,15
gw,11,0,6,17
hackernews,6,0,0,6
materialistic,19,1,23,43
nanoconverter,42,0,0,42
notepad,7,0,0,7
opensudoku,14,0,12,26
radiocells,12,6,10,28
runnerup,52,15,11,78
suntimes,23,0,5,28
timber,9,0,8,17
tintBrowser,17,3,13,33
uhabits,9,2,8,19
vanilla,24,0,18,42
wikipedia,31,21,6,58
